tokens;tags;sample
['▁x', 'tur', 'bo'];['B-BRAND', 'I-BRAND', 'I-BRAND'];xturbo
['▁с', 'теп', 'ь', '▁', 'нут'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];степь нут
['▁хлеб', '▁200', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];хлеб 200Г
['▁со', 'мат'];['B-TYPE', 'I-TYPE'];сомат
['▁всё', '▁для', '▁у', 'бор', 'ки', '▁1.5', 'л', '▁потому'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];всё для уборки 1.5л потому
['▁Кон', 'фе', 'ты', '▁75', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Конфеты 75 Г
['▁ко', 'стро', 'м', 'ской'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];костромской
['▁кре', 'кер', 'ы', '▁90', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];крекеры 90 Г
['▁пере', 'ку', 'сы', '▁300', 'м', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];перекусы 300мл
['▁масса', 'же', 'ры', '▁', 'электрон', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];массажеры электронн
['▁каб', 'ач', 'кт'];['B-TYPE', 'I-TYPE', 'I-TYPE'];кабачкт
['▁пи', 'ца', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пицаа
['▁фр', 'ут', 'те', 'ла'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];фруттела
['▁mak', 'fa', '▁кру', 'а', 'сс'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];makfa круасс
['▁ком', 'бо', '▁160', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];комбо 160 Г
['▁тор', 'ты', 'жка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тортыжка
['▁в', 'ял', 'енная', '▁ди', 'аф'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];вяленная диаф
['▁комп', 'от', '▁а', 'гуш'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];компот агуш
['▁', 'лук', '▁з', 'еле'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];лук зеле
['▁ла', 'ваш', '▁400', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];лаваш 400g
['▁200', 'g', '▁', 'лё', 'д'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];200g лёд
['▁4', '▁%', '▁у', 'кс', 'ус'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE'];4 % уксус
['▁двор', 'ники'];['B-TYPE', 'I-TYPE'];дворники
['▁нем', 'лл', 'око'];['B-TYPE', 'I-TYPE', 'I-TYPE'];немллоко
['▁', 'ator', '▁5%'];['B-BRAND', 'I-BRAND', 'B-PERCENT'];ator ▁5% ▁
['▁я', 'бо', 'око'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ябооко
['▁з', '▁Й'];['B-BRAND', 'B-TYPE'];▁з ▁ Й
['▁поп', 'кор', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE'];попкорна
['▁мы', '▁пи', 'рож', 'ные', '▁90', '▁г'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];мы пирожные 90 г
['▁сло', 'цка'];['B-TYPE', 'I-TYPE'];слоцка
['▁good', 'ni', 'x'];['B-BRAND', 'I-BRAND', 'I-BRAND'];goodnix
['▁та', 'б', '.', '▁', 'ява'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];таб. ява
['▁бул', 'к'];['B-TYPE', 'I-TYPE'];булк
['▁ты', 'о', 'рож'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тыорож
['▁календар', 'ь', '▁ми'];['B-TYPE', 'I-TYPE', 'B-BRAND'];календарь ми
['▁кал', 'ория', '▁вар', 'ене'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];калория варене
['▁ze', 'fir', '▁16%'];['B-TYPE', 'I-TYPE', 'B-PERCENT'];zefir 16%
['▁pivo', '▁0', '.', '▁0', '▁%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'I-PERCENT'];pivo 0. 0 %
['▁', 'КУ', 'Х', 'НЯ', '▁40', '▁Ш', 'Т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];КУХНЯ 40 ШТ
['▁сард', 'ины', '▁ба'];['B-TYPE', 'I-TYPE', 'B-BRAND'];сардины ба
['▁', 'тан', '▁цари', 'цы', 'н'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];тан царицын
['▁спи', 'чки', '▁boys', 'cou'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];спички boyscou
['▁vi', 'us', '▁150', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];vius 150 г
['▁се', 'мена', 'чи', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];семеначиа
['▁паста', '▁крас', 'ная', '▁цена'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND'];паста красная цена
['▁74', '▁г', '▁з', 'еф', 'ир', '▁пожалуйста'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O'];74 г зефир пожалуйста
['▁бр', 'ике', 'ты', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];брикетыц
['▁', 'домашн'];['B-TYPE', 'I-TYPE'];домашн
['▁', 'жела', 'тин'];['B-TYPE', 'I-TYPE', 'I-TYPE'];желатин
['▁твор', 'об', 'у', 'жки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];творобужки
['▁фр', 'ут', 'г', 'ня', 'ня'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];фрутгняня
['▁конф', 'ета', '▁в', '▁короб', 'ках'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];конфета в коробках
['▁й', 'ог', 'ург'];['B-TYPE', 'I-TYPE', 'I-TYPE'];йогург
['▁макар', 'оны', '▁у', 'ли', 'тки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];макароны улитки
['▁НОВИ', 'Н', 'КИ', '▁С', '▁ДО', 'СТА', 'В', 'КОЙ', '▁1.', '2%', '▁доставка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'O'];НОВИНКИ С ДОСТАВКОЙ 1.2% доставка
['▁пюре', '▁овощ', 'ное'];['B-TYPE', 'B-TYPE', 'I-TYPE'];пюре овощное
['▁анти', 'жир'];['B-TYPE', 'I-TYPE'];антижир
['▁', 'гель', '▁для', '▁сир'];['B-TYPE', 'I-TYPE', 'O', 'O'];гель для сир
['▁аромат', 'ы', '▁для', '▁дома', '▁1', '▁Ш', 'т', '▁та'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'O'];ароматы для дома 1 Шт та
['▁масло', '▁цена'];['B-TYPE', 'B-BRAND'];▁ масло ▁цена
['▁бен', 'з', 'ын'];['B-TYPE', 'I-TYPE', 'I-TYPE'];бензын
['▁пер', 'ья'];['B-TYPE', 'I-TYPE'];перья
['▁', 'конструктор', 'ом', '▁dick'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];конструктором dick
['▁конф', 'е', 'ты', '▁', 'ь', 'ём', 'ная', '▁ночь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND'];конфеты ьёмная ночь
['▁м', 'ё', 'д', '▁70%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];мёд 70%
['▁гре', 'яка'];['B-TYPE', 'I-TYPE'];греяка
['▁пет', 'руш', 'ка', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];петрушка.
['▁al', 'meta'];['B-BRAND', 'I-BRAND'];almeta
['▁Вы', 'годно', '▁55%'];['B-TYPE', 'I-TYPE', 'B-PERCENT'];Выгодно 55%
['▁закуски', '▁его', '▁210', 'Г'];['B-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];закуски его 210Г
['▁шам', 'пи', 'ньо'];['B-TYPE', 'I-TYPE', 'I-TYPE'];шампиньо
['▁dona'];['B-BRAND'];dona
['▁lumina', 'rc', '▁та', 'рел', 'ка'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];luminarc тарелка
['▁при', 'права', '▁для', '▁мя', 'со'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];приправа для мясо
['▁бул', 'ьон', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE'];бульона
['▁шиш', 'кин', '▁лес', '▁вода'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'B-TYPE'];шишкин лес вода
['▁то', '▁чи'];['B-BRAND', 'B-TYPE'];то ▁ чи
['▁шп', 'рот', '▁тендер'];['B-TYPE', 'I-TYPE', 'B-BRAND'];шпрот тендер
['▁o', 't', 'dy', 'h', '▁135', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];otdyh 135г
['▁ультра', 'па', 'стер', 'изован', 'ное', '▁э', 'ком', 'ил'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];ультрапастеризованное экомил
['▁рис', '▁к', '▁плов', 'у'];['B-TYPE', 'O', 'O', 'O'];рис к плову
['▁мя', 'со', '▁на', '▁уг', 'лях'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];мясо на углях
['▁масло'];['B-TYPE'];масло
['▁markt', 'c', 'll', 'ction'];['O', 'O', 'O', 'O'];marktcllction
['▁об', 'лож'];['B-TYPE', 'I-TYPE'];облож
['▁су', 'лу', 'г', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сулугни
['▁mire', 'i'];['B-BRAND', 'I-BRAND'];mirei
['▁им', 'бир', 'ь', '▁и', 'нда', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];имбирь индана
['▁с', 'де', 'лай', '▁с'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];сделай с
['▁й', 'о', 'гурт', '▁от', '▁о', 'оо'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];йогурт от ооо
['▁сухо', 'ф', 'рук', 'ты', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сухофрукты 200г
['▁boost'];['B-BRAND'];boost
['▁', 'пель', 'мени', '▁800', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];пельмени 800г
['▁аэро', 'зо', 'ль', '▁sy', 'm', 'phon'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];аэрозоль symphon
['▁сом', '▁мар', 'ина'];['B-TYPE', 'B-BRAND', 'I-BRAND'];сом марина
['▁1', '▁твор'];['B-PERCENT', 'B-TYPE'];▁1 ▁ твор
['▁пр', '!', 'ст', '▁ви', 'лк'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];пр!ст вилк
['▁було', 'чка', '▁для', '▁бур', 'ге'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];булочка для бурге
['▁сыр', 'ок', '▁твор'];['B-TYPE', 'I-TYPE', 'B-TYPE'];сырок твор
['▁с', 'овка', '▁svi', 'p'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];совка svip
['▁коп', 'ти', 'льня'];['B-TYPE', 'I-TYPE', 'I-TYPE'];коптильня
['▁фе', 'ту'];['B-TYPE', 'I-TYPE'];фету
['▁салат', 'ы', '▁210', '▁g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];салаты 210 g
['▁круп', 'ка', '▁гре', 'чне', 'в'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];крупка гречнев
['▁лу', 'ку', 'мом', '▁pet', 'r'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];лукумом petr
['▁пан', 'иров', 'очные'];['B-TYPE', 'I-TYPE', 'I-TYPE'];панировочные
['▁молоко', '▁97', 'w', 'М', 'л'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];молоко 97wМл
['▁круп', 'ы', '▁800', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];крупы 800 Г
['▁кола', '▁2'];['B-TYPE', 'B-VOLUME'];▁кола ▁2
['▁иде', 'ка', '▁о'];['O', 'O', 'O'];идека о
['▁pedig', 're', 'e'];['B-BRAND', 'I-BRAND', 'I-BRAND'];pedigree
['▁фен', '▁mou', 'line', 'x'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];фен moulinex
['▁со', 'евые', '▁со', 'у'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];соевые соу
['▁кот', 'лет', 'ыг'];['B-TYPE', 'I-TYPE', 'I-TYPE'];котлетыг
['▁дро', 'жди'];['B-TYPE', 'I-TYPE'];дрожди
['▁', 'гн', 'езд', 'да'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];гнездда
['▁коп', 'ч', 'ён', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];копчённ
['▁макар', 'оны', '▁102', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];макароны 102 г
['▁de', 'o'];['B-BRAND', 'I-BRAND'];deo
['▁пере', 'кус', '▁с', '▁поль', 'з', 'ой', '▁30', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];перекус с пользой 30 Г
['▁тре', 'ской'];['B-TYPE', 'I-TYPE'];треской
['▁фен', 'ы', '▁bos'];['B-TYPE', 'I-TYPE', 'B-BRAND'];фены bos
['▁чи', 'п', 'сы', '▁с', '▁сол', 'ью'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'B-TYPE', 'I-TYPE'];чипсы с солью
['▁', 'сэн', 'г', 'ви', 'ч', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сэнгвичь
['▁картоф', 'е', 'ля', '▁', 'vic'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];картофеля vic
['▁', 'плю', 'шки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];плюшки
['▁кон', 'ди', 'ц', 'то', 'нер'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кондицтонер
['▁ус', 'лада', '▁коз', 'ина'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];услада козина
['▁каш', 'а', '▁', 'моло', 'чная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];каша молочная
['▁том', 'ат', 'ный', '▁кет', 'чуп'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];томатный кетчуп
['▁М', 'Ё', 'Д', '▁370', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];МЁД 370 г
['▁фа', 'кел', 'ман', '▁крыш', 'ек'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];факелман крышек
['▁байр', 'он'];['B-BRAND', 'I-BRAND'];байрон
['▁', 'зер', 'нё', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];зернёный
['▁чай', 'ный', '▁ас', 'сор', 'ти'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];чайный ассорти
['▁Игр', 'ушки', '▁115', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Игрушки 115 г
['▁с', 'гу', 'ще', 'г', 'к', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сгущегкк
['▁san', 'for'];['B-BRAND', 'I-BRAND'];sanfor
['▁', 'соль', '▁10', '▁М', 'л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];соль 10 Мл
['▁си', 'вок'];['B-TYPE', 'I-TYPE'];сивок
['▁уход', '▁за', '▁волос', 'ами', '▁900', 'm', 'O'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];уход за волосами 900mO
['▁чи', 'п', 'сы', '▁prin', 'gle'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];чипсы pringle
['▁баг'];['O'];баг
['▁сл', 'лив', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];слливки
['▁С', '▁20'];['B-TYPE', 'B-PERCENT'];▁С ▁20
['▁м', 'ё', 'д', '▁70%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];мёд 70%
['▁зав', 'ьо', 'ак'];['B-TYPE', 'I-TYPE', 'I-TYPE'];завьоак
['▁ба', 'тон', 'чик', '▁ми', 'нд', 'альный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];батончик миндальный
['▁твор', 'о', 'жок', '▁аг', 'уша', '▁чер', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND'];творожок агуша черни
['▁круп', 'ы', '▁W', '50', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];крупы W50 г
['▁ли', 'вер', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ливерн
['▁tualet', '▁8'];['B-TYPE', 'B-VOLUME'];▁tualet ▁8
['▁хлеб', '▁для', '▁пи', 'ц', 'цы'];['B-TYPE', 'O', 'O', 'O', 'O'];хлеб для пиццы
['▁это', '▁Су', 'х', 'оф', 'рук', 'ты', '▁70', '▁г'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];это Сухофрукты 70 г
['▁орун', 'цы'];['B-TYPE', 'I-TYPE'];орунцы
['▁кр', 'ю', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крючки
['▁хлеб', 'цы', '▁125', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];хлебцы 125 г
['▁', 'дача', '▁400', 'м', 'л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];дача 400мл
['▁коом'];['B-TYPE'];коом
['▁с', 'нэ', 'ки', '▁бел', 'лин'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];снэки беллин
['▁се', 'мя', 'че', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];семячеи
['▁пита', '▁кара', 'вай'];['B-TYPE', 'B-BRAND', 'I-BRAND'];пита каравай
['▁ба', 'бай', 'ский'];['B-BRAND', 'I-BRAND', 'I-BRAND'];бабайский
['▁п', 'шне', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пшнено
['▁без', 'о', 'ак'];['B-TYPE', 'I-TYPE', 'I-TYPE'];безоак
['▁на', 'полни', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE'];наполниель
['▁са', 'о', 'лат'];['B-TYPE', 'I-TYPE', 'I-TYPE'];саолат
['▁мя', 'со', '▁W', '00', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];мясо W00Г
['▁круп', 'ы', '▁350', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];крупы 350 Г
['▁', 'пив', '.', '▁вол', 'жан', 'ин'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];пив. волжанин
['▁бр', 'ю', 'ле'];['B-TYPE', 'I-TYPE', 'I-TYPE'];брюле
['▁со', 'ус', '▁для', '▁бу'];['B-TYPE', 'I-TYPE', 'O', 'O'];соус для бу
['▁бал', 'т', 'ком'];['B-BRAND', 'I-BRAND', 'I-BRAND'];балтком
['▁комп', 'от', 'ы', '▁чу', 'д'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];компоты чуд
['▁бул', 'гур'];['B-TYPE', 'I-TYPE'];булгур
['▁около', '▁ДЛЯ', '▁Д', 'РУ', 'Г', 'ИХ', '▁', 'ПИ', 'ТОМ', 'Ц', 'ЕВ', '▁20', '▁л'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];около ДЛЯ ДРУГИХ ПИТОМЦЕВ 20 л
['▁детски', 'е', '▁напитки', '▁1.', '▁6%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];детские напитки 1. 6%
['▁салат', 'ы', '▁500', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];салаты 500 г
['▁кре', 'сс', '-', 'са', 'лата'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кресс-салата
['▁для', '▁ко', 'шек', '▁400', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];для кошек 400 g
['▁W', '00', 'г', '▁закуски'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE'];W00г закуски
['▁пом', 'ид', 'оры', '▁свеж'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];помидоры свеж
['▁c', 'ок'];['B-TYPE', 'I-TYPE'];cок
['▁крут', 'он'];['B-TYPE', 'I-TYPE'];крутон
['▁от', 'бели', 'ва', 'ющая'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];отбеливающая
['▁без', '▁лак', 'то', 'зы', '▁400', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];без лактозы 400г
['▁завтра', 'ки', '▁бел', 'лин'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];завтраки беллин
['▁фил', 'ее', 'ю'];['B-TYPE', 'I-TYPE', 'I-TYPE'];филеею
['▁100%', '▁чай'];['B-PERCENT', 'B-TYPE'];100% чай
['▁поро', 'шок', '▁гор', 'чи', 'чный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];порошок горчичный
['▁уход', '▁за', '▁тело', 'м', '▁5', 'sht'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];уход за телом 5sht
['▁б', 'лен', 'чики'];['B-TYPE', 'I-TYPE', 'I-TYPE'];бленчики
['▁Су', 'пы', '▁110', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Супы 110 г
['▁рыб', 'а', '▁', 'фор'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];рыба фор
['▁о', 'а', 'ся', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];оасяное
['▁75', 'г', '▁ку', 'кур', 'уз', 'ные', '▁сне', 'ки', '▁над'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O'];75г кукурузные снеки над
['▁коре', 'й', 'ская', '▁мор', 'ков', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];корейская морковка
"['▁наш', '▁solen', ""'"", 'ja', '▁212', 'м', 'л']";['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];наш solen'ja 212мл
['▁з', 'еф', 'ир'];['B-TYPE', 'I-TYPE', 'I-TYPE'];зефир
['▁ли', 'сть', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE'];листьч
['▁картоф', 'ель', '▁фа', 'сова', 'нный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];картофель фасованный
['▁320', 'Г', '▁З', 'ЕФ', 'ИР'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];320Г ЗЕФИР
['▁спортивно', 'е', '▁пита', 'ние', '▁0.5', '6', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];спортивное питание 0.56г
['▁с', 'вин', 'нина'];['B-TYPE', 'I-TYPE', 'I-TYPE'];свиннина
['▁w', '00', 'Г', '▁хал', 'ва'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];w00Г халва
['▁со', 'лены', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE'];соленык
['▁za', 'ft', 'rak', 'i', '▁340', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];zaftraki 340 g
['▁', 'pher', '▁со'];['B-BRAND', 'I-BRAND', 'B-TYPE'];pher ▁ со
['▁кап', 'ель', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];капелька
['▁гли', 'я'];['O', 'O'];глия
['▁14', 'г', '▁ж', 'ва', 'чка'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];14г жвачка
['▁Зе', 'фи', 'р', '▁16%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];Зефир 16%
['▁хо', 'б', 'би', '▁3', 'Ш', 'Т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];хобби 3ШТ
['▁сыр', '▁твор'];['B-TYPE', 'B-TYPE'];сыр твор
